;fabric_width(m);slice_tuple;total_slice;waste;qty;total_qty;%_of_total;%_of_valuable;%_of_waste
594;3.0;0.5;0.5;2.5;106;748;0.14171122994652408;0.16666666666666666;0.8333333333333334
604;3.0;0.6;0.6;2.4;86;748;0.11497326203208556;0.19999999999999998;0.7999999999999999
619;3.0;1.4|1.6|;3.0;0.0;71;748;0.09491978609625669;1.0;0.0
582;3.0;0.4;0.4;2.6;48;748;0.06417112299465241;0.13333333333333333;0.8666666666666667
599;3.0;0.6|0.8|;1.4;1.6;45;748;0.06016042780748663;0.4666666666666666;0.5333333333333333
621;3.0;1.63;1.63;1.37;42;748;0.05614973262032086;0.5433333333333333;0.4566666666666667
616;3.0;1.0;1.0;2.0;38;748;0.05080213903743316;0.3333333333333333;0.6666666666666666
614;3.0;0.9;0.9;2.1;36;748;0.0481283422459893;0.3;0.7000000000000001
601;3.0;0.6|1.2|;1.7999999999999998;1.2000000000000002;31;748;0.04144385026737968;0.6;0.4000000000000001
611;3.0;0.8|1.0|1.2;3.0;0.0;23;748;0.03074866310160428;1.0;0.0
610;3.0;0.7;0.7;2.3;19;748;0.02540106951871658;0.2333333333333333;0.7666666666666666
606;3.0;0.7|0.8|;1.5;1.5;18;748;0.02406417112299465;0.5;0.5
577;3.0;0.4|0.6|;1.0;2.0;15;748;0.020053475935828877;0.3333333333333333;0.6666666666666666
575;3.0;0.4|0.5|;0.9;2.1;13;748;0.017379679144385027;0.3;0.7000000000000001
600;3.0;0.6|0.9|;1.5;1.5;12;748;0.016042780748663103;0.5;0.5
618;3.0;1.2;1.2;1.8;12;748;0.016042780748663103;0.39999999999999997;0.6
608;3.0;0.7|1.0|1.2;2.9;0.10000000000000009;11;748;0.014705882352941176;0.9666666666666667;0.03333333333333336
623;3.0;1.78;1.78;1.22;11;748;0.014705882352941176;0.5933333333333334;0.4066666666666667
573;3.0;0.4|0.5|0.7;1.6;1.4;10;748;0.013368983957219251;0.5333333333333333;0.4666666666666666
607;3.0;0.7|0.9|;1.6;1.4;10;748;0.013368983957219251;0.5333333333333333;0.4666666666666666
613;3.0;0.9|1.2|;2.1;0.8999999999999999;8;748;0.0106951871657754;0.7000000000000001;0.3
572;3.0;0.4|0.5|0.6;1.5;1.5;5;748;0.0066844919786096255;0.5;0.5
579;3.0;0.4|0.7|;1.1;1.9;5;748;0.0066844919786096255;0.3666666666666667;0.6333333333333333
587;3.0;0.5|0.6|0.7;1.8;1.2;5;748;0.0066844919786096255;0.6;0.39999999999999997
590;3.0;0.5|0.8|0.9;2.2;0.7999999999999998;5;748;0.0066844919786096255;0.7333333333333334;0.2666666666666666
576;3.0;0.4|0.6|0.8;1.8;1.2;4;748;0.0053475935828877;0.6;0.39999999999999997
586;3.0;0.5|0.5|;1.0;2.0;4;748;0.0053475935828877;0.3333333333333333;0.6666666666666666
588;3.0;0.5|0.6|;1.1;1.9;4;748;0.0053475935828877;0.3666666666666667;0.6333333333333333
593;3.0;0.5|1.2|;1.7;1.3;4;748;0.0053475935828877;0.5666666666666667;0.43333333333333335
620;3.0;1.4;1.4;1.6;4;748;0.0053475935828877;0.4666666666666666;0.5333333333333333
571;3.0;0.4|0.5|0.6|0.8|;2.3;0.7000000000000002;3;748;0.004010695187165776;0.7666666666666666;0.2333333333333334
574;3.0;0.4|0.5|0.8;1.7000000000000002;1.2999999999999998;3;748;0.004010695187165776;0.5666666666666668;0.4333333333333333
589;3.0;0.5|0.7|;1.2;1.8;3;748;0.004010695187165776;0.39999999999999997;0.6
596;3.0;0.6|0.6|;1.2;1.8;3;748;0.004010695187165776;0.39999999999999997;0.6
609;3.0;0.7|1.0|;1.7;1.3;3;748;0.004010695187165776;0.5666666666666667;0.43333333333333335
615;3.0;1.0|1.2|;2.2;0.7999999999999998;3;748;0.004010695187165776;0.7333333333333334;0.2666666666666666
580;3.0;0.4|0.9|;1.3;1.7;2;748;0.00267379679144385;0.43333333333333335;0.5666666666666667
591;3.0;0.5|0.8|1.2;2.5;0.5;2;748;0.00267379679144385;0.8333333333333334;0.16666666666666666
592;3.0;0.5|0.8|;1.3;1.7;2;748;0.00267379679144385;0.43333333333333335;0.5666666666666667
595;3.0;0.6|0.6|0.6;1.7999999999999998;1.2000000000000002;2;748;0.00267379679144385;0.6;0.4000000000000001
597;3.0;0.6|0.7|;1.2999999999999998;1.7000000000000002;2;748;0.00267379679144385;0.4333333333333333;0.5666666666666668
612;3.0;0.8|1.4|;2.2;0.7999999999999998;2;748;0.00267379679144385;0.7333333333333334;0.2666666666666666
