user_workdays_count;recs_paid;recs_shown;conversion;user_work_years
271.0;1.0;33;0.03;0.7
1746.0;0.0;25;0.0;4.8
404.0;0.0;13;0.0;1.1
1182.0;0.0;2;0.0;3.2
387.0;0.0;19;0.0;1.1
1587.0;0.0;19;0.0;4.3
257.0;0.0;35;0.0;0.7
1747.0;0.0;88;0.0;4.8
1088.0;0.0;11;0.0;3.0
339.0;0.0;40;0.0;0.9
1575.0;0.0;16;0.0;4.3
141.0;0.0;260;0.0;0.4
1747.0;0.0;12;0.0;4.8
1747.0;0.0;174;0.0;4.8
185.0;0.0;85;0.0;0.5
417.0;0.0;2;0.0;1.1
1746.0;0.0;4;0.0;4.8
1659.0;0.0;33;0.0;4.5
1740.0;0.0;70;0.0;4.8
1746.0;0.0;4;0.0;4.8
151.0;0.0;203;0.0;0.4
1143.0;0.0;106;0.0;3.1
1108.0;0.0;108;0.0;3.0
1204.0;0.0;90;0.0;3.3
450.0;0.0;4;0.0;1.2
1068.0;0.0;14;0.0;2.9
626.0;0.0;55;0.0;1.7
32.0;0.0;198;0.0;0.1
444.0;0.0;30;0.0;1.2
116.0;0.0;90;0.0;0.3
1286.0;3.0;106;0.028;3.5
1669.0;0.0;2;0.0;4.6
1747.0;0.0;72;0.0;4.8
532.0;0.0;1;0.0;1.5
1473.0;0.0;70;0.0;4.0
564.0;0.0;1;0.0;1.5
1578.0;0.0;1;0.0;4.3
111.0;0.0;79;0.0;0.3
88.0;0.0;142;0.0;0.2
87.0;0.0;12;0.0;0.2
1747.0;0.0;17;0.0;4.8
1741.0;0.0;3;0.0;4.8
1746.0;0.0;205;0.0;4.8
171.0;0.0;126;0.0;0.5
1746.0;0.0;92;0.0;4.8
888.0;0.0;73;0.0;2.4
61.0;0.0;77;0.0;0.2
762.0;0.0;15;0.0;2.1
63.0;0.0;12;0.0;0.2
924.0;0.0;127;0.0;2.5
1047.0;0.0;81;0.0;2.9
1367.0;0.0;9;0.0;3.7
1481.0;0.0;54;0.0;4.1
1471.0;0.0;1;0.0;4.0
1747.0;0.0;73;0.0;4.8
1033.0;0.0;2;0.0;2.8
1745.0;0.0;54;0.0;4.8
1741.0;0.0;68;0.0;4.8
982.0;0.0;135;0.0;2.7
1275.0;0.0;3;0.0;3.5
1688.0;0.0;20;0.0;4.6
165.0;0.0;9;0.0;0.5
38.0;0.0;48;0.0;0.1
1747.0;0.0;14;0.0;4.8
647.0;0.0;3;0.0;1.8
643.0;0.0;5;0.0;1.8
1747.0;0.0;6;0.0;4.8
417.0;0.0;14;0.0;1.1
1588.0;0.0;335;0.0;4.4
1432.0;0.0;73;0.0;3.9
234.0;0.0;84;0.0;0.6
836.0;0.0;303;0.0;2.3
1451.0;0.0;10;0.0;4.0
