category;name;art;price;overal_score;date
Аксессуары для штор;Держатель «Бабочка» 200х200 мм цвет мультиколор;17191350;123;5;04.10.2017
Аксессуары для штор;Держатель «Стрекоза малая» 145х85 мм цвет мультиколор;17191528;80;5;24.09.2019
Жалюзи;Держатель ламелей для вертикальных жалюзи 89 мм 3 шт.;18775824;67;5;23.11.2019
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;3;13.09.2019
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;2;24.10.2019
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;3;16.08.2018
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;2;19.01.2020
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;1;16.11.2018
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;1;13.07.2019
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;5;10.06.2019
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;1;09.08.2017
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;1;28.05.2019
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;3;05.08.2018
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;3;03.05.2017
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;1;09.08.2018
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;1;13.04.2018
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;1;20.01.2019
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;1;09.06.2019
Аксессуары для штор;Дополнительное крепление Inspire;13714774;127;4;19.09.2018
Жалюзи;Жалюзи 60х155 см, алюминий, цвет зелёный;82047390;448;5;04.07.2019
Жалюзи;Жалюзи 60х155 см, алюминий, цвет экрю;82047384;448;5;19.10.2019
Жалюзи;Жалюзи 70х155 см, алюминий, цвет голубой;82047388;513;2;03.05.2020
Жалюзи;Жалюзи 70х155 см, алюминий, цвет зелёный;82047391;513;5;02.05.2020
Жалюзи;Жалюзи 70х155 см, алюминий, цвет серый;82047400;513;5;10.03.2020
Жалюзи;Жалюзи 70х155 см, алюминий, цвет серый;82047400;513;5;26.12.2019
Жалюзи;Жалюзи 70х155 см, алюминий, цвет серый;82047400;513;5;10.08.2019
Жалюзи;Жалюзи 70х155 см, алюминий, цвет фиолетовый;82047397;513;4;07.01.2020
Жалюзи;Жалюзи Graphic, 100х155 см, ПВХ, цвет белый;82112677;538;5;10.05.2020
Жалюзи;Жалюзи Graphic, 100х155 см, ПВХ, цвет белый;82112677;538;4;06.08.2019
Жалюзи;Жалюзи Graphic, 100х155 см, ПВХ, цвет белый;82112677;538;5;27.11.2019
Жалюзи;Жалюзи Graphic, 140х155 см, ПВХ, цвет белый;82112679;715;5;28.07.2019
Жалюзи;Жалюзи Graphic, 40х155 см, ПВХ, цвет белый;82112673;220;5;10.01.2020
Жалюзи;Жалюзи Graphic, 40х155 см, ПВХ, цвет белый;82112673;220;1;24.01.2020
Жалюзи;Жалюзи Graphic, 40х155 см, ПВХ, цвет белый;82112673;220;5;17.09.2019
Жалюзи;Жалюзи Graphic, 40х155 см, ПВХ, цвет белый;82112673;220;1;25.02.2020
Жалюзи;Жалюзи Graphic, 40х155 см, ПВХ, цвет белый;82112673;220;5;03.01.2020
Жалюзи;Жалюзи Graphic, 40х155 см, ПВХ, цвет белый;82112673;220;5;28.02.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;1;05.04.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;3;12.05.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;5;12.02.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;5;16.03.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;5;10.01.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;5;17.09.2019
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;5;11.05.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;4;23.02.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;4;09.03.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;3;25.01.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;5;04.01.2020
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;5;10.11.2019
Жалюзи;Жалюзи Graphic, 50х155 см, ПВХ, цвет белый;82112674;275;3;01.11.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;17.12.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;21.03.2020
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;17.10.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;25.09.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;2;25.07.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;3;17.03.2020
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;18.07.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;16.11.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;16.08.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;1;01.11.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;24.03.2020
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;17.12.2019
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;10.01.2020
Жалюзи;Жалюзи Graphic, 60х155 см, ПВХ, цвет белый;82112675;327;5;18.04.2020
Жалюзи;Жалюзи Graphic, 80х155 см, ПВХ, цвет белый;82112676;417;5;11.05.2020
Жалюзи;Жалюзи Inspire 100х160 см алюминий цвет белый;16262144;841;5;29.06.2018
Жалюзи;Жалюзи Inspire 100х160 см алюминий цвет серебряный;16268431;841;5;31.07.2018
Жалюзи;Жалюзи Inspire 120х160 см алюминий цвет белый;16262136;983;5;19.02.2018
Жалюзи;Жалюзи Inspire 140х160 см алюминий цвет белый;16262128;1124;4;22.07.2019
Жалюзи;Жалюзи Inspire 140х160 см алюминий цвет белый;16262128;1124;5;26.11.2018
Жалюзи;Жалюзи Inspire 140х160 см алюминий цвет белый;16262128;1124;5;19.02.2019
Жалюзи;Жалюзи Inspire 140х160 см алюминий цвет белый;16262128;1124;5;13.03.2020
Жалюзи;Жалюзи Inspire 140х160 см алюминий цвет серебряный;16268415;1124;5;17.07.2017
Жалюзи;Жалюзи Inspire 140х160 см алюминий цвет серебряный;16268415;1124;5;17.04.2019
Жалюзи;Жалюзи Inspire 160х160 см алюминий цвет белый;16262110;1260;5;26.06.2018
Жалюзи;Жалюзи Inspire 160х160 см алюминий цвет белый;16262110;1260;5;20.10.2019
Жалюзи;Жалюзи Inspire 160х160 см алюминий цвет белый;16262110;1260;5;22.02.2019
Жалюзи;Жалюзи Inspire 160х160 см алюминий цвет серебряный;16268407;1316;5;19.01.2018
Жалюзи;Жалюзи Inspire 160х160 см алюминий цвет серебряный;16268407;1316;4;04.08.2019
Жалюзи;Жалюзи Inspire 160х160 см алюминий цвет серебряный;16268407;1316;5;12.09.2017
Жалюзи;Жалюзи Inspire 160х160 см алюминий цвет серебряный;16268407;1316;2;12.05.2019
