shop_id;revenue
Shop 0;1120673.89
Shop 3;97302.6
Shop 6;56738.87
Shop 2;46067.15
Shop 1;40032.4
Shop 4;38816.42
Shop 8;15069.0
Shop 14;11215.92
Shop 7;10785.46
Shop 10;9223.13
Shop 19;6688.83
Shop 24;5136.73
Shop 12;4827.94
Shop 18;4078.25
Shop 16;3848.48
Shop 25;3800.5499999999997
Shop 26;3347.72
Shop 9;2619.84
Shop 11;2559.21
Shop 27;2541.37
Shop 21;1965.61
Shop 28;1950.37
Shop 22;1619.53
Shop 15;972.3399999999999
Shop 30;944.01
Shop 5;931.25
Shop 20;816.55
Shop 17;577.22
Shop 29;260.75
Shop 23;-209.55
